time (s),rssi (dBm),longitude (deg),latitude (deg),error (dil)
1448223605.598,-39,64.86441921666666,-147.90900025,0.6
1448223610.772,-38,64.86441766666667,-147.90899376666667,0.6
1448223615.948,-43,64.8644185,-147.90898083333335,0.6
1448223622.602,-46,64.86441815,-147.90896545,0.8
1448223627.794,-50,64.86441635,-147.90892878333332,0.8
1448223632.968,-62,64.86441641666667,-147.90896798333333,0.8
1448223638.141,-58,64.86441923333334,-147.90902326666668,0.8
1448223643.314,-60,64.86443213333334,-147.90902856666668,0.6
1448223648.488,-63,64.86443896666667,-147.90895121666668,0.6
1448223653.66,-64,64.86445781666667,-147.90893005,0.6
1448223658.757,-63,64.86446715,-147.90892675,0.6
1448223663.927,-61,64.86446116666667,-147.9089033,0.8
1448223669.111,-61,64.86445571666667,-147.90888571666667,0.6
1448223674.286,-59,64.86445121666667,-147.90889235,0.6
