Reference, Value, Footprint, Datasheet, DIST_PN
C5,1000nF,Capacitors_SMD:C_0603,,490-1543-1-ND
C1,1000nF,Capacitors_SMD:C_0603,,490-1543-1-ND
C6,1000nF,Capacitors_SMD:C_0603,,490-1543-1-ND
C4,100nF,Capacitors_SMD:C_0603,,490-1532-1-ND
C7,100nF,Capacitors_SMD:C_0603,,490-1532-1-ND
C2,100nF,Capacitors_SMD:C_0603,,490-1532-1-ND
C3,100nF,Capacitors_SMD:C_0603,,490-1532-1-ND
C9,100nF,Capacitors_SMD:C_0603,,490-1532-1-ND
C11,100nF,Capacitors_SMD:C_0603,,490-1532-1-ND
C12,22pF,Capacitors_SMD:C_0603,,490-1411-1-ND
C13,22pF,Capacitors_SMD:C_0603,,490-1411-1-ND
C8,22pF,Capacitors_SMD:C_0603,,490-1411-1-ND
C10,22pF,Capacitors_SMD:C_0603,,490-1411-1-ND
L3,47nH,Resistors_SMD:R_0603,,712-1442-1-ND
L4,47nH,Resistors_SMD:R_0603,,712-1442-1-ND
R1,4k7,Resistors_SMD:R_0603,,P4.7KGCT-ND
R4,4k7,Resistors_SMD:R_0603,,P4.7KGCT-ND
R2,4k7,Resistors_SMD:R_0603,,P4.7KGCT-ND
R3,4k7,Resistors_SMD:R_0603,,P4.7KGCT-ND
P4,CONN_01X03,sensornode:JMP_HDR,,609-3461-ND
P3,CONN_01X03,sensornode:JMP_HDR,,609-3461-ND
P5,CONN_01X03,sensornode:JMP_HDR,,609-3461-ND
P1,CONN_01X06,sensornode:LPPB061NGCN-RC,,S9016E-06-ND
P2,CONN_02X07,sensornode:CONN_MSPJTAG,,S9170-ND
U2,CY7C65213,Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm,,CY7C65213-28PVXI-ND
L1,DNP,Resistors_SMD:R_0603,,
L2,DNP,Resistors_SMD:R_0603,,
D3,LED,LEDs:LED-0603,,160-1447-1-ND
D1,LED,LEDs:LED-0603,,160-1447-1-ND
D2,LED,LEDs:LED-0603,,160-1447-1-ND
U3,M10478-A3,sensornode:gps_radionova,,627-1055-1-ND
U1,MCP1700,Housings_SOT-89:SOT89-3_Housing,,MCP1700T3302EMBCT-ND
U4,silkscreen_label,sensornode:gunter,,
CON1,USB-MICRO-B,Connect:USB_Mini-B,,A121533CT-ND
